City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
423,Pedro Carbo,EC,72.34,overcast clouds,-1.8333,-80.2333,Centro turístico y hostería oasis pedro carbo
424,Kudat,MY,84.13,few clouds,6.8837,116.8477,Dream Garden Hotel
426,Upata,VE,71.87,broken clouds,8.0086,-62.3989,Posada Villa Nela
428,Gat,IL,71.4,clear sky,31.61,34.7642,OlusHome
430,Ratnagiri,IN,76.24,overcast clouds,16.9833,73.3,Hotel Landmark
431,Colares,PT,67.33,overcast clouds,38.7992,-9.4469,Arribas Sintra Hotel
432,Nelson Bay,AU,71.65,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
437,Ajmer,IN,68.4,clear sky,26.45,74.6333,OYO 862 Hotel Embassy
438,Keti Bandar,PK,79.57,broken clouds,24.1447,67.4497,Haji laloo memon house
440,Palauig,PH,82.42,overcast clouds,15.435,119.9045,Villa Raphael Resort
441,Kaohsiung,TW,78.75,heavy intensity rain,22.6163,120.3133,御宿商旅-中山館
442,Belmonte,BR,73.42,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
444,Erzin,TR,66.31,overcast clouds,36.9559,36.2,Artemis Otel
445,Dwarka,IN,81.0,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
446,Labuhan,ID,81.77,light rain,-6.8844,112.2051,DoubleFAG
448,Djibo,BF,82.98,broken clouds,14.1022,-1.6306,Centre Des Ressources DPENA
451,Inhambane,MZ,69.75,clear sky,-23.865,35.3833,Oceano
453,Iralaya,HN,80.26,overcast clouds,15.0,-83.2333,Iglesia morava renovada
456,Portland,US,84.79,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
457,Aki,JP,75.15,clear sky,33.5,133.9,Seigetsu Ryokan
458,Ahuimanu,US,83.79,clear sky,21.4447,-157.8378,Paradise Bay Resort
461,Myingyan,MM,80.78,few clouds,21.4667,95.3833,Yamethin
462,Tarata,BO,65.62,overcast clouds,-17.6167,-66.0167,Hacienda castillo
464,Lompoc,US,68.56,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
470,Ano Mera,GR,65.43,clear sky,37.45,25.4,Hotel La Résidence Mykonos
474,Mount Hagen,PG,77.99,clear sky,-5.8581,144.2274,Highlander Hotel & Apartments
476,Anloga,GH,78.66,moderate rain,5.7947,0.8973,Pin Drop Hotel
478,Turan,VN,80.58,broken clouds,16.0678,108.2208,Grand Mercure Danang
480,Boulsa,BF,78.15,few clouds,12.6675,-0.5758,Auberge Relwende
485,Ucluelet,CA,68.31,clear sky,48.9329,-125.5528,Black Rock Oceanfront Resort
486,Tanhacu,BR,72.73,clear sky,-14.0214,-41.2481,BALNEÁRIO JUREMA
487,Puli,TW,75.22,moderate rain,23.9664,120.9695,牛耳藝術渡假村木屋區
488,Barmer,IN,76.5,clear sky,25.75,71.3833,Jain Dharamshala
490,Kirakira,SB,83.66,overcast clouds,-10.4544,161.9205,SanBiz Lodge
491,Flinders,AU,71.19,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
493,Sao Borja,BR,69.94,overcast clouds,-28.6606,-56.0044,Hotel Executivo
495,Sao Gotardo,BR,66.63,overcast clouds,-19.3111,-46.0489,HOTEL BOMTEMPO
498,Yeroham,IL,67.59,clear sky,30.9872,34.9314,Desert Iris
499,Zhumadian,CN,70.68,few clouds,32.9794,114.0294,Ouyue House Hotel
501,Ballina,AU,74.79,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
502,Jaguey Grande,CU,75.4,light rain,22.5269,-81.1286,Barberia hendrix
503,Durban,ZA,66.02,overcast clouds,-29.8579,31.0292,Hilton Durban
505,Elizabeth City,US,66.22,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
507,Bartica,GY,79.12,scattered clouds,6.4,-58.6167,Sloth Island Nature Resort
508,Chuzhou,CN,66.2,clear sky,32.3219,118.2978,GreenTree Inn Chuzhou Langya Mountain Scenic Area Xijian Road Business Hotel
511,Sociedad,SV,73.56,broken clouds,13.7,-88.0167,
518,Auraiya,IN,72.3,clear sky,26.4667,79.5167,Sadhu Hotal
520,Cape Coast,GH,76.53,overcast clouds,5.1053,-1.2466,Samrit Hotel
521,Ludhiana,IN,67.98,clear sky,30.9,75.85,Park Plaza Ludhiana
522,Malakal,SS,74.08,overcast clouds,9.5334,31.6605,Nile Palace Hotel
523,Chateaubelair,VC,79.32,few clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
525,Along,IN,66.85,scattered clouds,28.1667,94.7667,Hotel West
526,Fernley,US,81.46,clear sky,39.608,-119.2518,Super 8 by Wyndham Fernley
527,Ibra,OM,71.04,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
528,Siva,EG,69.96,clear sky,29.2041,25.5195,Qasr Alzaytuna Inn
531,Dagana,MR,81.99,clear sky,16.5165,-15.5068,Quartier Dille koumba fatim thiam
532,Umm Kaddadah,SD,81.91,clear sky,13.6017,26.6876,
533,Beloha,MG,66.58,scattered clouds,-25.1667,45.05,
535,Sibolga,ID,75.06,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
538,Dunmore Town,BS,82.04,clear sky,25.5,-76.65,Coral Sands Hotel
540,Oranjestad,AW,82.9,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
541,San Lorenzo,PY,76.14,thunderstorm,-25.3333,-57.5333,Canarias Hotel
542,Tautira,PF,76.51,scattered clouds,-17.7333,-149.15,Pension Oaoa
543,Mapiri,BO,70.45,overcast clouds,-15.25,-68.1667,
544,Tual,ID,83.57,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
545,Eyl,SO,76.41,clear sky,7.9803,49.8164,EYL AQUE SYSTEM
547,Benin,BJ,71.38,overcast clouds,9.5,2.25,
549,Kieta,PG,83.93,light rain,-6.2167,155.6333,Uruna Bay Retreat
550,Lukulu,ZM,65.64,clear sky,-14.3707,23.242,Ruth Guest House
553,Bengkulu,ID,77.65,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
557,Tanete,ID,82.45,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
559,Shingu,JP,72.9,broken clouds,33.7333,135.9833,Shingu UI Hotel
563,Thanh Hoa,VN,74.37,clear sky,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
564,Sinnamary,GF,79.61,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
567,Tucurui,BR,75.29,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
569,Opotiki,NZ,68.38,overcast clouds,-38.0833,177.2833,Agassiz House Opotiki Backpackers
571,Caninde De Sao Francisco,BR,72.03,clear sky,-9.66,-37.7894,Xingó Parque Hotel
