City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Macheng,CN,31.1783,115.0319,69.84,51,6,6.4,clear sky
228,Luderitz,NA,-26.6481,15.1594,57.74,87,74,4.14,broken clouds
229,Camana,PE,-16.6228,-72.7111,63.19,78,1,6.91,clear sky
230,Coolum Beach,AU,-26.5333,153.1,74.1,71,64,6.53,broken clouds
231,Maningrida,AU,-12.0667,134.2667,89.15,53,69,10.87,broken clouds
232,Sorland,NO,67.667,12.6934,46.26,74,100,22.35,overcast clouds
233,Hualmay,PE,-11.0964,-77.6139,62.04,82,34,9.04,scattered clouds
234,Clyde River,CA,70.4692,-68.5914,41.23,81,0,18.41,clear sky
235,Warrnambool,AU,-38.3833,142.4833,55.69,65,7,8.37,clear sky
236,Geraldton,AU,-28.7667,114.6,64.81,59,75,21.85,broken clouds
237,Georgetown,MY,5.4112,100.3354,76.93,97,40,4.61,moderate rain
238,Kaitangata,NZ,-46.2817,169.8464,58.46,71,65,2.86,broken clouds
239,Petropavl,KZ,54.8753,69.1628,44.13,76,95,5.77,overcast clouds
240,San Luis,AR,-33.295,-66.3356,60.15,45,0,8.14,clear sky
241,Faanui,PF,-16.4833,-151.75,79.02,77,35,17.92,light rain
242,Guerrero Negro,MX,27.9769,-114.0611,70.7,62,1,13.76,clear sky
243,Poum,NC,-20.2333,164.0167,75.07,74,20,16.98,few clouds
244,Baykit,RU,61.67,96.37,28.63,87,100,1.61,overcast clouds
245,Erdenet,MN,49.0333,104.0833,23.25,65,0,1.43,clear sky
246,Saint-Joseph,RE,-21.3667,55.6167,70.47,77,26,10.07,scattered clouds
247,Andenes,NO,69.3143,16.1194,46.92,81,75,8.05,broken clouds
248,Vila Do Maio,CV,15.1333,-23.2167,77.79,72,98,9.53,overcast clouds
249,Sao Filipe,CV,14.8961,-24.4956,77.14,73,46,7.34,scattered clouds
250,Matara,LK,5.9485,80.5353,76.95,90,72,7.07,broken clouds
251,Bay Roberts,CA,47.5999,-53.2648,50.32,78,100,3.98,overcast clouds
252,Rafai,CF,4.95,23.9167,68.95,98,100,0.31,light rain
253,Meridian,US,43.6121,-116.3915,76.05,33,0,5.75,clear sky
254,Castlegar,CA,49.2998,-117.6689,63.28,46,7,0.65,clear sky
255,Hope,US,33.6671,-93.5916,84.25,60,29,4.47,scattered clouds
256,Half Moon Bay,US,37.4636,-122.4286,68.92,80,100,17.27,mist
257,Fohnsdorf,AT,47.2183,14.6819,47.16,95,21,3.38,few clouds
